Metric;Static (S) or Temporal (T) Data Layer, or Not Available/Applicable (NA);Pressure (P), State(S), Response (R), Benefit (B) ;Top-down (T), Bottom-up (B), Neither (0), Unknown (U) [State metrics only];Significance (S), Intactness (I), Neither (0), Unknown (U) [State metrics only];Realm;Composition;Function;Structure;Biosfere level;Ecosystem level;Community level;Species level;Functional group level;Individual level;Genome level;Chromosome level;Gene level;Enzyme level;Type of organism;Business Use
IUCN Rarity-Weighted Richness Birds;S;S;B;S;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Birds;N
IUCN Rarity-Weighted Richness Combined;S;S;B;S;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Plants and animals;N
IUCN Rarity-Weighted Richness Mammals;S;S;B;S;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Mammals;N
IUCN Rarity-Weighted Richness Reptiles;S;S;B;S;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Reptiles;N
IUCN Species Richness;S;S;B;0;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Plants Animals ;N
IUCN Species Richness Amphibians;S;S;B;0;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Amphibians;N
IUCN Species Richness Birds;S;S;B;0;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Birds;N
IUCN Species Richness Mammals;S;S;B;0;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Mammals;N
IUCN Species Richness Reptiles;S;S;B;0;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Reptiles;N
IUCN Threatened Species Richness;S;S,P;B;S;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Plants Animals ;N
IUCN Threatened Species Richness Amphibians;S;S,P;B;S;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Amphibians;N
IUCN Threatened Species Richness Birds;S;S,P;B;S;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Birds;N
IUCN Threatened Species Richness Combined;S;S,P;B;S;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Plants Animals ;N
IUCN Threatened Species Richness Mammals;S;S,P;B;S;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Mammals;N
IUCN Threatened Species Richness Reptiles;S;S,P;B;S;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Reptiles;N
JPL 2020 Global Biomass Dataset;T;S;B;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
Karst Regions of the World (KROW);S;S;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Not applies;N
Key Biodiversity Areas;S;S;B;S;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Plants Animals ;N
Land degradation in global arable lands;S;S,P,B;B;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Last of the Wilds (1993);S;S;T;I;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Plants;N
Last of the Wilds (2009);S;S;T;I;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Plants;N
LBI (Long Term Biodiversity index) ;S;S;B;I;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Plants Animals ;Y
Live Cover via Vegetation Continuous Fields;T;S;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Live Vegetation Biomass Carbon for the 21st Century (2000-2019);T;S;B;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
Living Planet Index (LPI);T;S;B;I;Terrestrial Marine Freshwater;1;0;0;1;1;1;1;1;0;0;0;0;0;Animal;N
Living Planet Index (LPI) - Forest Specialists;T;S;B;I;Terrestrial;1;0;0;1;1;1;1;1;0;0;0;0;0;Animal;N
Living Planet Index (LPI) for utilised species;T;S,P;B;I;Terrestrial Marine Freshwater;1;0;0;1;1;1;1;1;0;0;0;0;0;Animal;N
LUCAS (Land Use and Coverage Area frame Survey);T;S,P;B;0;Terrestrial;0;0;1;0;1;0;0;0;0;0;0;0;0;Plants;N
Madingley Model of Functional Dissimilarity;S;S;T;0;Terrestrial Marine Freshwater;0;1;0;1;1;1;0;0;0;0;0;0;0;Plants Animals ;N
Madingley Model of Functional Richness;S;S;T;0;Terrestrial Marine Freshwater;0;1;0;1;1;1;0;0;0;0;0;0;0;Plants Animals ;N
Major Agricultural Systems;S;S;T;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Mammalian Genetic Diversity;S;S;B;S;Terrestrial Marine Freshwater;1;0;0;1;1;1;1;1;0;1;0;1;0;Mammals;N
Map of Three Global Conditions: Cities and Farms, Shared Lands, and Large Wild Areas;S;S;T;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Mapping global cropland and field size;S;S,B;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Mapping the irrecoverable carbon in Earth's ecosystems;S;S;B;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
Mean regional bird diversity (cSAR);S;S;T;I;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Plants;Y
Mean Species Abundance (MSA);T;S;T;I;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Plants Animals ;Y
MODIS Gross Primary Production (GPP) 2000-2020;T;S;B;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
MODIS Land Cover Dynamics (Land Cover Dynamics Yearly L3 Global 1km);T;S;B;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
MODIS NDVI 2000 - 2020;T;S;B;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
MODIS Net Primary Production (NPP) 2000-2019;T;S;B;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
MODIS Terra+Aqua Combined Land Cover (Land Cover Type Yearly L3 Global 500m);T;S;B;I;Terrestrial Marine Freshwater;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
MODIS/Aqua+Terra Global Flood Product L3 NRT 250m;S;S;B;0;Terrestrial Marine Freshwater;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
MODIS/Terra Vegetation Indices 16-Day L3 Global 250 m SIN Grid (MOD13Q1 v006);S;S;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Mountain Green Cover Index;T;S;B;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Multidimensional Biodiversity Index (MBI);NA;S,B;0;S,I;Terrestrial Freshwater;1;1;0;0;1;0;0;0;0;0;0;0;0;Plants Animals ;N
NatureMap - Areas of global significance for restoration;S;S,R;T;S;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
NatureMap - Forest Biodiversity Intactness Index;S;S;T;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
NatureMap - Global Habitats;T;S;T;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
NatureMap - Live Biomass Carbon Density;S;S;B;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
NatureMap: Areas of global importance for conserving terrestrial biodiversity, carbon, and water;S;S;B;S;Terrestrial;1;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
NatureMap: Rarity-weighted richness;S;S;B;S;Terrestrial Marine Freshwater;1;0;0;1;1;0;0;0;0;0;0;0;0;NA;Y
NatureMap: Total vulnerable carbon density (beta version);S;S;B;0;Terrestrial;0;1;0;1;0;0;0;0;0;0;0;0;0;Plants;N
NatureMap: Vulnerable soil organic carbon density;T;S;B;0;Terrestrial;0;1;0;1;0;0;0;0;0;0;0;0;0;Plants;N
Net primary productivity;T;S;B;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
Net Primary Productivity (1 month - Terra/MODIS);S;S;B;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
NOAA Climate Data Record (CDR) of AVHRR Normalized Difference Vegetation Index (NDVI);T;S;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Number of species extinctions (birds and mammals);T;S,P;B;S;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Plants;N
Number of species with Green Status (IUCN Red List) assessments of ‘Recovered’;T;S,R;B;I;Terrestrial;1;0;0;1;1;1;0;1;0;0;0;0;0;Mammals birds;N
Number of threatened species recorded in BGCI’s ThreatSearch database;NA;S;B;S;Terrestrial;1;0;0;0;1;1;1;1;0;0;0;0;0;Plants;N
Number of Wetlands of International Importance;T;S;B;S;Terrestrial and Marine;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Number of zoonotic diseases in wildlife;T;S;B;0;Terrestrial;1;1;0;1;1;1;0;0;0;0;0;0;0;Animals;N
Percentage of cropped landscapes with at least 10% natural or semi-natural vegetation within 1km;T;S;T;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Percentage of threatened species that are improving in status according to the Red List;S;S,R;B;S;Terrestrial Marine Freshwater;1;0;0;1;1;1;0;0;0;0;0;0;0;Plants;N
Persistence Score/LIFE;T;S,P,R;B;S;Terrestrial;1;0;0;0;1;0;0;0;0;0;0;0;0;Animals;N
PHYLACINE 1.2: The Phylogenetic Atlas of Mammal Macroecology;S;S;B;S;Terrestrial;1;0;0;1;1;1;1;1;0;0;0;0;0;Animals;N
Phylogenetic Diversity Indicator (update to IPBES version);T;S;B;0;Terrestrial Marine Freshwater;1;0;0;0;0;1;1;0;0;0;0;0;0;Plants Animals ;N
Potential distribution of land cover classes (Potential Natural Vegetation) at 250 m spatial resolution;S;S;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Potentially disappeared fraction (PDF);S;S,P;T;I;Terrestrial;1;0;0;0;1;1;0;0;0;0;0;0;0;Not applies;Y
Predicting plant conservation priorities on a global scale;S;S;B;S;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Plants;N
Primary forest deforestation;S;S,P;B;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Proportion of agricultural area under productive and sustainable agriculture;T;S,R;T;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Proportion of land that is degraded over total land area;T;S,P;B;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Not applies;N
Proportion of populations maintained within species;S;S;B;I;Terrestrial Marine Freshwater;1;0;0;0;0;0;1;0;0;0;0;1;0;Plants Animals ;N
Proportion of river basins, in a country, where environmental flows are provided in accordance with the e-flow methodology of SDG indicator 6.4.2;NA;S;B;I;Freshwater;0;0;1;0;1;0;0;0;0;0;0;0;0;Not applies;N
Proportion of total land area that is a natural/semi-natural ecosystem;T;S;B;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Not applies;N
Protected Area Connectedness Index (PARC-Connectedness);T;S,R;B;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Not applies;N
Protected Area coverage of Intact Wilderness and Additional Climate Stabilization Areas;T;S,R;T;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Not applies;N
Protected Area Isolation Index (PAI);;S,R;T,B;S;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Not applies;
Protected Area Representativeness Index;T;S,R;T;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Not applies;N
Protected Areas Network Metric (ProNet);;S,R;T;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Not applies;
Protected Connected (Protconn);T;S,R;B;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Not applies;N
Red List Index;T;S;B;S;Terrestrial Marine Freshwater;1;0;0;0;1;0;0;0;0;0;0;0;0;Not applies;Y
Red List Index (forest-dependent species);T;S;B;S;Terrestrial;1;0;0;0;1;0;0;0;0;0;0;0;0;Not applies;N
Red List Index (impacts of invasive alien species);T;S,P;B;S;Terrestrial Marine Freshwater;1;0;0;0;1;0;0;0;0;0;0;0;0;Not applies;N
Red List Index (impacts of pollution);T;S,P;B;S;Terrestrial Marine Freshwater;1;0;0;0;1;0;0;0;0;0;0;0;0;Not applies;N
Red List Index (internationally traded species);T;S,P;B;S;Terrestrial Marine Freshwater;1;0;0;0;1;0;0;0;0;0;0;0;0;Not applies;N
Red List Index (migratory species);T;S;B;S;Terrestrial Marine Freshwater;1;0;0;0;1;0;0;0;0;0;0;0;0;Not applies;N
Red List Index (pollinating species);T;S,B;B;S;Terrestrial Marine Freshwater;1;0;0;0;1;0;0;0;0;0;0;0;0;Not applies;N
Red List Index (species used for food and medicine);T;S,B;B;S;Terrestrial Marine Freshwater;1;0;0;0;1;0;0;0;0;0;0;0;0;Not applies;N
Red List Index (trends driven by utilisation);T;S,P;B;S;Terrestrial Marine Freshwater;1;0;0;0;1;0;0;0;0;0;0;0;0;Not applies;N
Red List Index (wetland species);T;S;B;S;Marine Freshwater;1;0;0;0;1;0;0;0;0;0;0;0;0;Not applies;N
Red List Index (wild relatives of domesticated animals);T;S,B;B;S;Terrestrial Marine Freshwater;1;0;0;0;1;0;0;0;0;0;0;0;0;Not applies;N
Red list Index for crop wild relatives;T;S,B;B;S;Terrestrial;1;0;0;0;1;0;0;0;0;0;0;0;0;Not applies;N
Red List of Ecosystems;T;S;B;S;Terrestrial Marine Freshwater;0;0;1;0;1;0;0;0;0;0;0;0;0;Not applies;N
Relative Magnitude of Fragmentation (RMF);T;S;B;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
SEED Biocomplexity Index;S;S;T;U;Terrestrial;1;1;1;1;1;0;0;0;0;0;0;0;0;Plants Animals ;Y
Species abundance based biodiversity intactness (PREDICTS);T;S;T;I;Terrestrial;1;1;0;1;1;0;0;0;0;0;0;0;0;Plants Animals ;N
Species Habitat Index (SHI);T;S;B;0;Terrestrial;0;0;1;0;1;0;0;0;0;0;0;0;0;Plants Animals ;N
Species Sensitivity Distribution (SSD);S;S;T;0;Marine;0;0;0;0;0;0;1;0;0;0;0;0;0;Animals;N
Species threat abatement and restoration (STAR) metric;S;S,P,R;B;S;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Animals;N
Suitability of Global Land Area for Pasture (FGGD);S;S,B;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Not applies;N
Terrestrial Ecoregions of the World;S;S;T;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants Animals ;N
Terrestrial Wilderness (2009);S;S;T;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants Animals ;N
The Global Peatland Database (GPD);S;S;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Not applies;N
The proportion of populations within species with an effective population size > 500*;T;S;B;I;Terrestrial Marine Freshwater;1;0;0;0;0;0;1;0;0;0;0;0;0;Plants Animals ;N
Threatened Island Biodiversity Database (TIB);S;S;B;S;Terrestrial;0;0;1;0;1;0;0;0;0;0;0;0;0;Not applies;N
Tiger Conservation Landscapes (2006);S;S;B;0;Terrestrial;0;0;1;0;1;0;1;0;0;0;0;0;0;Animals;N
Tiger Conservation Landscapes (TCLs);S;S;B;I;Terrestrial;0;0;1;0;1;0;1;0;0;0;0;0;0;Animals;N
TNC Global biophysical typology of mangroves;T;S;B;0;Terrestrial and Marine;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
TNC Last Chance Mammal Areas;S;S;B;S;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Mammals;N
Tree Cover Loss;T;S,P;B;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Trees in Mosaic Landscapes;S;S;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Trends in mangrove extent;T;S;B;I;Terrestrial and Marine;0;1;1;0;1;0;0;0;0;0;0;0;0;Plants;N
Tropical Dry Forests;S;S;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Tropical Montane Cloud Forest Sites;S;S;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
UN FAO Global Land Cover Network (GLC-SHARE);S;S;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Vegetation Carbon Stock Corridors;T;S;T;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
VODCA2GPP – a new, global, long-term (1988–2020) gross primary production dataset from microwave remote sensing;T;S;B;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
Wetland Extent Trends Index;T;S;T;I;Terrestrial Marine Freshwater;0;0;1;1;1;0;0;0;0;0;0;0;0;Not applies;N
Wild Bird Index (farmland specialists birds);T;S;B;I;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Birds;N
Wilderness Lost (1993-2009);T;S;T;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
WISE Soil Property Databases;S;S;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Not applies;N
World Atlas of Desertification (WAD);S;S;B;0;Terrestrial;0;0;0;1;1;0;0;0;0;0;0;0;0;Not applies;N
World Atlas of Desertification (WAD) - Aridity;S;S;B;0;Terrestrial;0;0;0;1;1;0;0;0;0;0;0;0;0;Not applies;N
World Dryland Areas;S;S;T;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Not applies;N
World Ecosystems;S;S;T;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
World Soil Information Service  (WoSIS);S;S;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Not applies;N
World Terrestrial Ecosystems;S;S;T;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Mammals;N
World's Intact Large Mammal Assemblages;S;S;B;I;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Mammals;N
World's Intact Large Mammal Assemblages (update);S;S;B;I;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Mammals;N
WWF Global 200 Terrestrial Ecoregions;S;S;T;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Forest Carbon Flux ;T;S,B;T;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;Y